17:02:06 (00:00:30) (chat)  anksi: Kreygasm Kreygasm
22:46:57 (05:45:20) (chat)  SupremeLolka: monkaOMEGA
22:46:57 (05:45:20) (chat)  koteg: PEPEGA
22:46:57 (05:45:20) (chat)  5audade: уииииии
22:46:59 (05:45:22) (chat)  no_crosshair: LUL LUL
22:47:01 (05:45:24) (chat)  loknik4: 🍗🤔🍺
22:47:02 (05:45:25) (chat)  koteg: POGGERS
22:47:02 (05:45:25) (chat)  Ded_DOMOSED: оооооо вот это горка)
22:47:04 (05:45:27) (chat)  LionSPb: wlgGillette
22:47:05 (05:45:28) (chat)  AttentionSilver: калифорникейшен
22:47:05 (05:45:28) (chat)  Dva_markera: аж мурашки пошли
22:47:06 (05:45:29) (chat)  memedict_cyberbatch: Ееее горки
22:47:07 (05:45:30) (chat)  nikatinchik_123: во я также на чегете херачит
22:47:08 (05:45:32) (chat)  julia_vi1: DogePls
22:47:10 (05:45:33) (chat)  AlexFAS29: wlgGillette wlgGillette wlgGillette wlgGillette
22:47:10 (05:45:34) (chat)  marabern: @WELOVEGAMES пошел в горы, а лыжи не взял... ну или хотя бы санки
22:47:11 (05:45:34) (chat)  RadioZefir: уиии
22:47:11 (05:45:34) (chat)  GRIFSTGAMES: Сноуборд надо
22:47:11 (05:45:35) (chat)  OSuse: Pog
22:47:16 (05:45:39) (chat)  wlgboy: @MD_t130 вы вернулись из пустоши - залог возвращен. Вы нашли редкий предмет на старой свалке - [Пневматическое ружье Джонни]. К сожалению у вас не было места в инвентаре. Вы надежно спрятали находку, записали координаты местонахождения предмета и продали их перекупщику за 98 крышечек.
22:47:18 (05:45:41) (chat)  FeBellus: LUL
22:47:19 (05:45:43) (chat)  wanqoast: castle5LUL castle5LUL castle5LUL
22:47:22 (05:45:46) (chat)  PazhiloyBatyshkaKolovrat: BibleThump BibleThump BibleThump
22:47:23 (05:45:46) (chat)  romeerhovich: Гениально
22:47:23 (05:45:47) (chat)  SupremeLolka: D:
22:47:24 (05:45:48) (chat)  LionSPb: ха
22:47:27 (05:45:50) (chat)  AlexanderRoman: @SnaKemuho тогда й буду дико орать
22:47:29 (05:45:52) (chat)  joni_frosta: PepeLmao
22:47:29 (05:45:53) (chat)  Devescor: ха!
22:47:29 (05:45:53) (chat)  NozkaStula: lfs420 lfs420 lfs420 lfs420
22:47:30 (05:45:54) (chat)  AttentionSilver: Deadbite
22:47:31 (05:45:54) (chat)  Grey_hounD: LULW
22:47:31 (05:45:54) (chat)  oizostream: LUL LUL LUL
22:47:31 (05:45:54) (chat)  anutiel: anutiel subscribed at Tier 1. They've subscribed for 23 months! Всем добра! <3
22:47:32 (05:45:55) (chat)  T0SHO: ахахаахахахааа
22:47:33 (05:45:56) (chat)  TheCadence: LUL LUL LUL
22:47:33 (05:45:56) (chat)  DepozitPositiv: wlgOralb
22:47:33 (05:45:56) (chat)  memedict_cyberbatch: Отлична
22:47:33 (05:45:57) (chat)  Mutabor_Shooter: LUL LUL LUL LUL LUL
22:47:33 (05:45:57) (chat)  ekzoversi_: wlgDeer
22:47:33 (05:45:57) (chat)  FeBellus: Горбом о камент
22:47:34 (05:45:57) (chat)  V_O_o_V: wlgDance wlgDance wlgDance
22:47:34 (05:45:57) (chat)  Takeshi13: LUL LUL
22:47:35 (05:45:58) (chat)  Yunten: LUL
22:47:35 (05:45:59) (chat)  LionSPb: wlg5 wlg5 wlg5
22:47:35 (05:45:59) (chat)  julia_vi1: LUL
22:47:36 (05:45:59) (chat)  NorthFailer: ахахахаххаха
22:47:36 (05:45:59) (chat)  Vishenka_Cherry: wlg5 wlg5 wlg5
22:47:37 (05:46:00) (chat)  nnz0: LUL LUL LUL LUL
22:47:37 (05:46:01) (chat)  karburaktor: женская логика
22:47:38 (05:46:01) (chat)  koteg: ну так то слёт
22:47:38 (05:46:01) (chat)  Takeshi13: wlg5 wlg5 wlg5
22:47:38 (05:46:02) (chat)  life_is_anguish: LUL LUL LUL
22:47:39 (05:46:03) (chat)  St0p_iT: LUL LUL
22:47:39 (05:46:03) (chat)  Grey_hounD: PepeLmao
22:47:41 (05:46:04) (chat)  Goldy__: Kapp
22:47:42 (05:46:05) (chat)  nickojin: Kappa Kappa Kappa
22:47:42 (05:46:05) (chat)  Nakasikasykasena: wlg5 wlg5
22:47:43 (05:46:06) (chat)  BoxtyArt: ажаажажаж
22:47:43 (05:46:06) (chat)  gromyca: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:47:44 (05:46:07) (chat)  rikoshetmax_: ахахахаха
22:47:44 (05:46:08) (chat)  Mifrok1988: лол
22:47:45 (05:46:08) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5
22:47:45 (05:46:08) (chat)  LionSPb: @anutiel здравствуй wlg5 wlgOralb
22:47:46 (05:46:09) (chat)  AttentionSilver: Слёт вездеходов krippSmart
22:47:46 (05:46:10) (chat)  SupremeLolka: SourPls SourPls
22:47:47 (05:46:11) (chat)  loknik4: FrankerZ FrankerZ FrankerZ FrankerZ
22:47:48 (05:46:11) (chat)  YezhinayaMordochka: LUL
22:47:48 (05:46:11) (chat)  placebo79: :D
22:47:48 (05:46:11) (chat)  ekzoversi_: PogChamp PogChamp PogChamp PogChamp PogChamp
22:47:49 (05:46:12) (chat)  Takeshi13: @anutiel wlg5 wlgHype привет
22:47:49 (05:46:12) (chat)  Aletiy: LUL
22:47:49 (05:46:12) (chat)  DZ1R0: F
22:47:50 (05:46:13) (chat)  LuckyFreeman: хахахаха
22:47:50 (05:46:14) (chat)  DepozitPositiv: LUL LUL LUL LUL LUL LUL
22:47:51 (05:46:14) (chat)  schnapsik: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:47:51 (05:46:14) (chat)  MyZem: ХААХАХА
22:47:52 (05:46:15) (chat)  joni_frosta: VWasted
22:47:52 (05:46:15) (chat)  AKa_47: LUL LUL LUL
22:47:52 (05:46:16) (chat)  Quinzel_33: Нееееееееееееет
22:47:52 (05:46:16) (chat)  KAJbMAP: LUL
22:47:52 (05:46:16) (chat)  Segaman8: BibleThump
22:47:53 (05:46:16) (chat)  FeBellus: LUL Приплыли
22:47:53 (05:46:16) (chat)  HoneysDead: LUL LUL LUL
22:47:53 (05:46:16) (chat)  FairPlayPsk: СашБаш топ Kappa
22:47:54 (05:46:17) (chat)  LuckyFreeman: RIP
22:47:54 (05:46:17) (chat)  LionSPb: wlgF
22:47:54 (05:46:17) (chat)  DarkLifeTime: LUL
22:47:55 (05:46:18) (chat)  nikatinchik_123: а музыка кстати прям)))
22:47:55 (05:46:18) (chat)  f1ow7: Pog PressF
22:47:55 (05:46:18) (chat)  NozkaStula: guitJesus guitJesus guitJesus
22:47:55 (05:46:18) (chat)  shidongan: LUL
22:47:55 (05:46:19) (chat)  ThislsDaWey: Даже рэгдола нет LUL
22:47:56 (05:46:19) (chat)  Qurdal: LUL
22:47:56 (05:46:19) (chat)  Catalianna: wlgRip wlgRip wlgRip
22:47:57 (05:46:20) (chat)  illus10_n: FeelsTastyMan
22:47:57 (05:46:20) (chat)  max0n4soul: LUL LUL LUL LUL LUL
22:47:58 (05:46:21) (chat)  shrekpard: космодесант!!!
22:47:58 (05:46:21) (chat)  chessus34: LUL
22:47:59 (05:46:22) (chat)  RSpwnz: LUL
22:48:00 (05:46:23) (chat)  AlexFAS29: хахаахахах
22:48:00 (05:46:24) (chat)  memedict_cyberbatch: Там ребенок разволновался
22:48:01 (05:46:24) (chat)  Velikolepniy_Dionysius: PressF
22:48:01 (05:46:24) (chat)  julia_vi1: wlgRuined
22:48:02 (05:46:25) (chat)  nickojin: ахахахаххаха
22:48:02 (05:46:25) (chat)  PazhiloyBatyshkaKolovrat: Что происходит
22:48:02 (05:46:25) (chat)  placebo79: axaxaxaxaxa
22:48:02 (05:46:26) (chat)  ushi_v_serejkah: wlgGillette wlgGillette wlgGillette wlgGillette wlgGillette
22:48:02 (05:46:26) (chat)  V_O_o_V: кажетса я обосралась
22:48:03 (05:46:26) (chat)  Mutabor_Shooter: wlgF wlgF wlgF wlgF
22:48:03 (05:46:26) (chat)  masterr33: Слёт маски
22:48:04 (05:46:27) (chat)  kenzi4: мед весь онлайн забрал Kappa
22:48:07 (05:46:30) (chat)  FeBellus: LUL LUL
22:48:08 (05:46:32) (chat)  AttentionSilver: bass boost
22:48:09 (05:46:32) (chat)  MyZem: восстание машин
22:48:09 (05:46:32) (chat)  NorthFailer: VWasted
22:48:10 (05:46:33) (chat)  colouridze1: ДИМОООООН
22:48:10 (05:46:34) (chat)  Vyacheslav11: wlgRip
22:48:12 (05:46:35) (chat)  no_crosshair: BibleThump BibleThump
22:48:13 (05:46:36) (chat)  coma_cat_: на веревке не судьба?
22:48:13 (05:46:36) (chat)  life_is_anguish: бб сотрясение получил походу
22:48:17 (05:46:41) (chat)  placebo79: оруууууууууууууууууууууууууууууу
22:48:17 (05:46:41) (chat)  Grey_hounD: HandsUp
22:48:19 (05:46:42) (chat)  Belkaperdelka: wlgSad не ори на ии
22:48:19 (05:46:42) (chat)  BoxtyArt: Вот это я понимаю качественный контент Squid1 Squid2 Squid3 Squid4
22:48:20 (05:46:43) (chat)  Fomikrai: wlgOralb wlgOralb wlgOralb wlgOralb
22:48:24 (05:46:48) (chat)  5audade: Бота обидеть может каждый BibleThump
22:48:24 (05:46:48) (chat)  anutiel: @lionspb @takeshi13 wlg5 wlgF привет!)
22:48:27 (05:46:51) (chat)  AlexanderRoman: NoDeathRun @WELOVEGAMES
22:48:28 (05:46:51) (chat)  bodiane: @WELOVEGAMES а можно счётчик угробленных Норманов Ридусов на экран?
22:48:31 (05:46:54) (chat)  loknik4: SMOrc SMOrc SMOrc
22:48:33 (05:46:57) (chat)  grommhell: душИ других курьеров
22:48:35 (05:46:58) (chat)  Grey_hounD: 👍
22:48:35 (05:46:58) (chat)  joni_frosta: YesLikeThis
22:48:40 (05:47:03) (chat)  Mutabor_Shooter: задергал Алису, она нервничает
22:48:41 (05:47:04) (chat)  GRIFSTGAMES: Ты по что Алиску тиранишь !!!
22:48:41 (05:47:04) (chat)  Dva_markera: wotTASTY
22:48:42 (05:47:06) (chat)  JDdono: а здесь зависит финал от смертей или нет?
22:48:43 (05:47:06) (chat)  ksenia_moon: wlgThumb
22:48:43 (05:47:07) (chat)  FeBellus: LUL Как же смешно "-Алиса, включи Дас Бут " ...пауза, "а пофиг" LUL
22:48:45 (05:47:09) (chat)  wlgboy: @Maga777maga спасибо за поддержку на 100.00 RUB. Вам было выдано соответствующее кол-во крышечек.
22:48:46 (05:47:10) (chat)  Corund: KKomrade
22:48:49 (05:47:12) (chat)  otecgenadiy: МУЖИК беремен!!!!
22:48:50 (05:47:13) (chat)  houstonus: он что , помер?
22:48:55 (05:47:18) (chat)  MrMorkovi4: !wasteland
22:48:55 (05:47:18) (chat)  wlgboy: @MrMorkovi4 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 44 минуты.
22:49:04 (05:47:27) (chat)  V_O_o_V: etcRandom Алиса, как там динозавры
22:49:08 (05:47:31) (chat)  joni_frosta: HandsUp
22:49:08 (05:47:31) (chat)  Segaman8: Pog
22:49:09 (05:47:32) (chat)  KKharNN: PogChamp PogChamp PogChamp
22:49:11 (05:47:34) (chat)  uga4akaugauga: wlgDance wlgDance wlgDance wlgDance wlgDance mcaT mcaT mcaT mcaT
22:49:11 (05:47:35) (chat)  Grey_hounD: LULW
22:49:11 (05:47:35) (chat)  masterr33: Он реально беременный
22:49:14 (05:47:38) (chat)  da4el: там бб скоро отъедет
22:49:15 (05:47:38) (chat)  xxxDerzi4xxx: PogChamp
22:49:15 (05:47:39) (chat)  AttentionSilver: опять гуф
22:49:16 (05:47:39) (chat)  julia_vi1: DogePls DogePls
22:49:16 (05:47:40) (chat)  nickojin: mcaT mcaT mcaT
22:49:20 (05:47:43) (chat)  jk_ua: bb
22:49:21 (05:47:44) (chat)  Segaman8: DogePls
22:49:21 (05:47:45) (chat)  wlgboy: @javek_alexey вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 98 крышечками. Теперь на вашем балансе 725 крышечек.
22:49:23 (05:47:46) (chat)  B_p_a_4: !wasteland
22:49:23 (05:47:46) (chat)  NORsys: @welovegames offspring - all I want попробуй
22:49:23 (05:47:46) (chat)  wlgboy: @B_p_a_4 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 39 минут.
22:49:23 (05:47:46) (chat)  gromyca: Неваляшка какая-то
22:49:24 (05:47:47) (chat)  ekzoversi_: PepeLmao
22:49:26 (05:47:49) (chat)  wanqoast: bb
22:49:26 (05:47:50) (chat)  farseer1337: bb
22:49:29 (05:47:52) (chat)  fillolog: громко и плохо(
22:49:30 (05:47:53) (chat)  Sinhrofazotron: В суету городов и в потоки машин Возвращаемся мы, просто некуда деться. И спускаемся вниз с покорённых вершин, Оставляя в горах, Оставляя в горах своё сердце. Так оставьте ненужные споры, Я себе уже всё доказал, Лучше гор могут быть только горы На которых ещё не бывал
22:49:30 (05:47:53) (chat)  vagyinajlnyy_klesh4___: BB F
22:49:30 (05:47:53) (chat)  twixtone: в андерграунд 2 были треки найс
22:49:32 (05:47:55) (chat)  otecgenadiy: JonCarnage JonCarnage JonCarnage
22:49:32 (05:47:56) (chat)  FeBellus: LUL LUL LUL
22:49:33 (05:47:56) (chat)  xxxDerzi4xxx: LUL
22:49:33 (05:47:56) (chat)  NorthFailer: LUL
22:49:33 (05:47:57) (chat)  karburaktor: пака
22:49:34 (05:47:57) (chat)  He_Zzzz: 3 хп...
22:49:34 (05:47:58) (chat)  xxxDerzi4xxx: ахаха
22:49:35 (05:47:58) (chat)  LionSPb: wlgF
22:49:35 (05:47:58) (chat)  HoneysDead: Кошмар, бедный Сэм NotLikeThis
22:49:35 (05:47:58) (chat)  hucci_mfk: rip
22:49:35 (05:47:58) (chat)  masterr33: У него шов прям как после родов на заставке был
22:49:35 (05:47:58) (chat)  sveeeOW: LULW
22:49:35 (05:47:59) (chat)  froxalt: LUL LUL LUL LUL
22:49:36 (05:47:59) (chat)  MyZem: ХААХАХАХАХ
22:49:36 (05:47:59) (chat)  joni_frosta: PepeLmao
22:49:36 (05:47:59) (chat)  no_crosshair: BibleThump биби
22:49:36 (05:47:59) (chat)  kepchunezik: LUL LUL
22:49:36 (05:48:00) (chat)  SupremeLolka: wlgFp wlgFp wlgFp
22:49:37 (05:48:00) (chat)  rikoshetmax_: WutFace
22:49:37 (05:48:00) (chat)  Ded_DOMOSED: жесть
22:49:37 (05:48:00) (chat)  illus10_n: FeelsTastyMan FeelsTastyMan
22:49:37 (05:48:00) (chat)  Grey_hounD: 👍
22:49:37 (05:48:00) (chat)  Segaman8: orkLUL
22:49:37 (05:48:01) (chat)  NozkaStula: guitJesus guitJesus guitJesus
22:49:38 (05:48:01) (chat)  Sporka: LUL LUL LUL
22:49:40 (05:48:03) (chat)  PunkWolk: @WELOVEGAMES А можно Высоцкого - Песня о друге?)
22:49:41 (05:48:04) (chat)  MOOZy111: BibleThump BibleThump BibleThump
22:49:41 (05:48:04) (chat)  oldsqu1rrel: Стример у тебя ББ сейчас умрёт, успокой его
22:49:41 (05:48:04) (chat)  atory704: BibleThump BibleThump
22:49:42 (05:48:06) (chat)  nickojin: недолго музыка играла
22:49:43 (05:48:06) (chat)  Catalianna: wlgF
22:49:43 (05:48:06) (chat)  chessus34: LUL
22:49:43 (05:48:06) (chat)  kenzi4: NotLikeThis NotLikeThis NotLikeThis
22:49:44 (05:48:07) (chat)  K1FT_: чееее
22:49:44 (05:48:07) (chat)  Taukycc: аж копчик заболел
22:49:44 (05:48:08) (chat)  Mutabor_Shooter: опять дас бут
22:49:45 (05:48:08) (chat)  AlexanderRoman: LUL
22:49:45 (05:48:08) (chat)  amadroni: БИБИ УМЕРАЕТ
22:49:46 (05:48:09) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
22:49:46 (05:48:09) (chat)  Buran767: Спуск оказался тернистым
22:49:47 (05:48:10) (chat)  julia_vi1: NotLikeThis Бедный Сэм
22:49:48 (05:48:11) (chat)  AttentionSilver: опять в утробу
22:49:49 (05:48:13) (chat)  Mr_Dimiks: умираешь
22:49:50 (05:48:14) (chat)  loknik4: SabaPing SabaPing SabaPing
22:49:51 (05:48:14) (chat)  SupremeLolka: wlgCry wlgCry wlgCry wlgCry
22:49:52 (05:48:15) (chat)  memedict_cyberbatch: Мне их жалко
22:49:55 (05:48:19) (chat)  doc_july_urology: прям как Шумахер...
22:49:56 (05:48:20) (chat)  LuckyFreeman: LUL а гвоорят дважды в одну воронку не....
22:49:59 (05:48:22) (chat)  JDdono: за что так с бэбэ?
22:50:00 (05:48:23) (chat)  V_O_o_V: etcHonor etcBulb lenMeg
22:50:01 (05:48:24) (chat)  Devilspike666: Денис играй нормально что задрисня
22:50:02 (05:48:25) (chat)  dimaxdima: в American Wasteland лучший саундтрек
22:50:02 (05:48:25) (chat)  no_crosshair: ля милота )
22:50:03 (05:48:27) (chat)  NateRiver888: @WELOVEGAMES ост экстремалы
22:50:03 (05:48:27) (chat)  kenzi4: ЧСВ
22:50:04 (05:48:27) (chat)  devixRL: Прохождения «для галочки» такие интересные, ммм.
22:50:06 (05:48:29) (chat)  LexaSP: @WELOVEGAMES а чего не из Shaun White Snowboarding?
22:50:06 (05:48:29) (chat)  PazhiloyBatyshkaKolovrat: SMOrc SMOrc SMOrc Пожалей ГГ
22:50:08 (05:48:32) (chat)  Ded_DOMOSED: ахахаха
22:50:09 (05:48:32) (chat)  loknik4: BabyRage BabyRage BabyRage
22:50:09 (05:48:32) (chat)  Nerkann: ой мороз мороз не морозь меня
22:50:09 (05:48:32) (chat)  telef0n1st: SMOrc хватит умирать
22:50:09 (05:48:33) (chat)  Grey_hounD: 👍👍
22:50:09 (05:48:33) (chat)  Haddar1: КиШ в тему будет
22:50:10 (05:48:34) (chat)  da4el: давай КиШа Разбежавшись прыгну со скалы
22:50:10 (05:48:34) (chat)  allwewant: WutFace WutFace
22:50:11 (05:48:34) (chat)  otecgenadiy: вы видели да? видели? мужик беремен! уахахахаха
22:50:12 (05:48:35) (chat)  B_p_a_4: БАН
22:50:12 (05:48:35) (chat)  Mifrok1988: не те треки, под которые ходишь...
22:50:13 (05:48:36) (chat)  Taukycc: PogChamp PogChamp PogChamp PogChamp
22:50:14 (05:48:37) (chat)  chessus34: Kreygasm
22:50:15 (05:48:38) (chat)  dizolando: Это выглядит как самоубийство
22:50:16 (05:48:40) (chat)  Liegaro: @WELOVEGAMES Ну алло, ну хоть раз к другому курьеру в ШВА подъедь а не к своему ТРУПУ!
22:50:17 (05:48:41) (chat)  kchief_hs: самое страшное что может случится - покажут голую жопу
22:50:20 (05:48:43) (chat)  Strix_team: и накой его понесло к этому кораблю
22:50:21 (05:48:44) (chat)  Osoznanie_Soznaniya: Дратути чат smileborodPrivet
22:50:26 (05:48:49) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
22:50:26 (05:48:49) (chat)  Karikaturo: D:
22:50:27 (05:48:50) (chat)  life_is_anguish: Денис там мигает всё
22:50:28 (05:48:51) (chat)  Takeshi13: @osoznanie_soznaniya привет
22:50:30 (05:48:53) (chat)  oizostream: выплюнул легкие
22:50:31 (05:48:54) (chat)  LionSPb: @osoznanie_soznaniya здравствуй wlg5 wlgOralb
22:50:32 (05:48:55) (chat)  HoneysDead: Успокой ББ SMOrc
22:50:33 (05:48:56) (chat)  spartic12: А я то думал что это серьезная игра
22:50:33 (05:48:56) (chat)  placebo79: D:
22:50:33 (05:48:57) (chat)  PunkWolk: @WELOVEGAMES А можно Высоцкого - Песня о друге?)
22:50:34 (05:48:58) (chat)  V_O_o_V: Squid3 Squid3
22:50:37 (05:49:00) (chat)  max0n4soul: бб F
22:50:37 (05:49:01) (chat)  Devescor: у малышей не такая жопа, если чо
22:50:38 (05:49:01) (chat)  memedict_cyberbatch: С каждой смертью будет хуже, наверное
22:50:39 (05:49:02) (chat)  xxxDerzi4xxx: Разбежавшись ...... прыгну
22:50:41 (05:49:04) (chat)  jk_ua: bb
22:50:42 (05:49:05) (chat)  xxxDerzi4xxx: со скалыы
22:50:43 (05:49:06) (chat)  Karikaturo: @WELOVEGAMES wlgF5 wlgF5 wlgF5 wlgF5
22:50:46 (05:49:09) (chat)  qpokychuk07: Ден а что ты делаешь?
22:50:48 (05:49:11) (chat)  jk_ua: f bb
22:50:48 (05:49:11) (chat)  VedMaKc: скалолазка
22:50:48 (05:49:12) (chat)  DMITRYMARRUS: Не палец а жопу еже два раза
22:50:49 (05:49:12) (chat)  GRIFSTGAMES: Веревку заюзай
22:50:50 (05:49:14) (chat)  NozkaStula: Канатоходец
22:51:02 (05:49:25) (chat)  ZebrAnika: wlgGillette
22:51:02 (05:49:25) (chat)  LionSPb: wlgPled
22:51:03 (05:49:26) (chat)  Grey_hounD: HandsUp
22:51:05 (05:49:28) (chat)  otecgenadiy: LUL LUL LUL
22:51:05 (05:49:28) (chat)  B_p_a_4: песня песня о друге друге
22:51:06 (05:49:29) (chat)  NozkaStula: Давай канатоходца
22:51:06 (05:49:29) (chat)  Karikaturo: Pog
22:51:07 (05:49:31) (chat)  Takeshi13: LUL
22:51:08 (05:49:32) (chat)  oizostream: Дэн пересекает Анды
22:51:09 (05:49:32) (chat)  V_O_o_V: кепка помялась
22:51:10 (05:49:33) (chat)  shidongan: Pog
22:51:10 (05:49:33) (chat)  julia_vi1: wlgBored
22:51:12 (05:49:36) (chat)  hucci_mfk: физика полный кал конечно
22:51:13 (05:49:36) (chat)  SnaKemuho: эта физика LULW
22:51:14 (05:49:38) (chat)  uga4akaugauga: BibleThump
22:51:16 (05:49:39) (chat)  otecgenadiy: из района 13 включай тогда уж
22:51:16 (05:49:39) (chat)  ddpbr: бб всё
22:51:16 (05:49:39) (chat)  vans33: Скалолазу
22:51:17 (05:49:40) (chat)  Aletiy: Душевно BibleThump
22:51:20 (05:49:43) (chat)  nickojin: BibleThump BibleThump BibleThump
22:51:20 (05:49:44) (chat)  K1FT_: LUL
22:51:22 (05:49:45) (chat)  Mutabor_Shooter: wlgThumb
22:51:28 (05:49:51) (chat)  With_Mistake: @WELOVEGAMES База слева
22:51:28 (05:49:52) (chat)  Grey_hounD: PepeLmao
22:51:28 (05:49:52) (chat)  placebo79: monkaS
22:51:29 (05:49:53) (chat)  schnapsik: wlgCry
22:51:30 (05:49:53) (chat)  eugennon: BibleThump
22:51:31 (05:49:54) (chat)  mrtsypa: BibleThump
22:51:32 (05:49:55) (chat)  TreyInSpace: @WELOVEGAMES Давай "здесь вам не равнина"
22:51:32 (05:49:56) (chat)  nevormee: Можно ещё Расстрел горного эха
22:51:36 (05:49:59) (chat)  Nerkann: ну погоди
22:51:39 (05:50:02) (chat)  magbess: wlgPeka
22:51:39 (05:50:02) (chat)  Aletiy: BibleThump BibleThump BibleThump
22:51:40 (05:50:03) (chat)  Teoretek: СЛЕВА
22:51:41 (05:50:04) (chat)  Morfeus811: lfsL lfsL lfsL lfsL lfsL lfsL lfsL
22:51:41 (05:50:04) (chat)  nnz0: PogChamp BibleThump BibleThump
22:51:45 (05:50:08) (chat)  KKharNN: Kreygasm
22:51:45 (05:50:09) (chat)  positron_cs: BibleThump
22:51:46 (05:50:09) (chat)  wlgboy: переходи по ссылке vk.cc/9OYaHK и приобретай новую улучшенную бритву Gillette Fusion 5 ProGlide. Это выбор настоящего мужика. Начни с себя. Ведь гладко в жизни – гладко во всем! С Gillette любая твоя катка будет гладкой.
22:51:46 (05:50:09) (chat)  gornoaltaisk: ой песня топ
22:51:46 (05:50:10) (chat)  V_O_o_V: merdeksPeka merdeksZdorovo KappaPride merdeksBac
22:51:47 (05:50:10) (chat)  life_is_anguish: wlgCry
22:51:48 (05:50:12) (chat)  homo_cop: PogU
22:51:50 (05:50:13) (chat)  FeBellus: @Nerkann +1 LUL
22:51:52 (05:50:16) (chat)  Vishenka_Cherry: Вспоминаю уроки Музыки в школе, на которых пели эту песню)
22:51:55 (05:50:19) (chat)  Segaman8: PogU
22:51:58 (05:50:21) (chat)  lazy_nihilist: CurseLit BibleThump
22:52:00 (05:50:24) (chat)  Osoznanie_Soznaniya: BibleThump BibleThump BibleThump
22:52:01 (05:50:24) (chat)  Grey_hounD: SmileW
22:52:02 (05:50:25) (chat)  PIRAGO: Красота то какая Лепота!
22:52:05 (05:50:28) (chat)  SupremeLolka: LUL LUL LUL LUL Kappa
22:52:06 (05:50:29) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
22:52:08 (05:50:31) (chat)  nickojin: LUL LUL LUL
22:52:09 (05:50:32) (chat)  xxxDerzi4xxx: wlgPled
22:52:09 (05:50:33) (chat)  Ammet: BibleThump BibleThump BibleThump BibleThump
22:52:12 (05:50:36) (chat)  northugshroud: Всем привет, ребзя!!! Еще не задушали игра вас?
22:52:14 (05:50:37) (chat)  Ded_DOMOSED: Чат, гуляем, себя показываем! wlgMug
22:52:14 (05:50:38) (chat)  positron_cs: BibleThump BibleThump
22:52:18 (05:50:41) (chat)  jk_ua: BibleThump BibleThump BibleThump BibleThump
22:52:18 (05:50:41) (chat)  eugennon: @Vishenka_Cherry оо, мы её тоже учили на пении)
22:52:19 (05:50:42) (chat)  lazy_nihilist: @Vishenka_Cherry хороший был преподаватель)
22:52:20 (05:50:43) (chat)  reddqd: фига топит
22:52:21 (05:50:44) (chat)  LionSPb: @northugshroud привет wlg5 wlgOralb
22:52:21 (05:50:44) (chat)  Grey_hounD: LULW
22:52:22 (05:50:46) (chat)  amadroni: Песня про чужих
22:52:25 (05:50:49) (chat)  Spac3crafteR: spac3c2AlienLoL spac3c2AlienLoL spac3c2AlienLoL
22:52:27 (05:50:50) (chat)  Vishenka_Cherry: @northugshroud wlg5
22:52:30 (05:50:54) (chat)  FeBellus: LUL
22:52:32 (05:50:56) (chat)  Mutabor_Shooter: чужой ariW
22:52:36 (05:50:59) (chat)  placebo79: FeelsOkayMan
22:52:41 (05:51:05) (chat)  Segaman8: orkLUL
22:52:42 (05:51:05) (chat)  nnz0: LUL LUL LUL
22:52:43 (05:51:07) (chat)  ekzoversi_: LUL LUL LUL
22:52:44 (05:51:07) (chat)  LionSPb: wlgPeka
22:52:44 (05:51:07) (chat)  homo_cop: сейчас бы хардбасс
22:52:44 (05:51:07) (chat)  SupremeLolka: LUL
22:52:45 (05:51:09) (chat)  Takeshi13: LUL
22:52:46 (05:51:10) (chat)  napk1n__: ой зря xD
22:52:47 (05:51:10) (chat)  lazy_nihilist: LUL LUL
22:52:47 (05:51:11) (chat)  KAJbMAP: биби: am i a joke to you? Kappa
22:52:48 (05:51:11) (chat)  KKharNN: LUL LUL LUL
22:52:48 (05:51:11) (chat)  Grey_hounD: LUL
22:52:48 (05:51:11) (chat)  nickojin: LUL LUL LUL LUL LUL
22:52:48 (05:51:12) (chat)  joni_frosta: PepeLmao
22:52:49 (05:51:13) (chat)  HoneysDead: LUL
22:52:50 (05:51:13) (chat)  Catalianna: LUL
22:52:51 (05:51:14) (chat)  positron_cs: F
22:52:52 (05:51:15) (chat)  Nakasikasykasena: подставил человека Kappa
22:52:54 (05:51:18) (chat)  kuzmalex: KomodoHype
22:52:55 (05:51:18) (chat)  positron_cs: FF
22:52:57 (05:51:21) (chat)  V_O_o_V: etcGrump чужой родненький
22:52:58 (05:51:21) (chat)  HoldenRoy: какой уровень?
22:52:58 (05:51:21) (chat)  FeBellus: @WELOVEGAMES Надеюсь это не АлинаРин
