03:33:55 (00:00:00) (comm)  S1mplerV: !гз
01:32:47 (05:00:54) (chat)  angry_ytka: @bobuika estiraGrimace
01:32:48 (05:00:55) (chat)  SupremeLolka: monkaHmm
01:32:48 (05:00:55) (chat)  santimentorr: !wasteland
01:32:48 (05:00:56) (chat)  wlgboy: @santimentorr вы уже находитесь в пустоши. Времени до возвращения: 12 минут.
01:32:52 (05:01:00) (chat)  tour_bot_a: @WELOVEGAMES ботинки хождения по лаве нужны)))
01:32:55 (05:01:02) (chat)  zaopdyyy: чётко)
01:32:57 (05:01:04) (chat)  bogi_m: Есть зелье обсидиановой кожи...
01:33:15 (05:01:23) (chat)  NekitChannelFun: @rolengstoun они даже мехов всех не убьют наверное)
01:33:18 (05:01:25) (chat)  YaNeDonya: LUL
01:33:18 (05:01:25) (chat)  bogi_m: Просто нырнуть в лаву, где нет мобов, и копать камень
01:33:19 (05:01:26) (chat)  Mrs_Christ: ахахах
01:33:21 (05:01:28) (chat)  AKa_47: funmisRofl funmisRofl
01:33:26 (05:01:34) (chat)  SupremeLolka: @WELOVEGAMES печка была, она вам нужна
01:33:26 (05:01:34) (chat)  SFA_Doc: LUL LUL LUL
01:33:28 (05:01:35) (chat)  GERXAGON: Чат они на мощной сложности проходят или на лёгком??
01:33:28 (05:01:35) (chat)  Mrs_Christ: Дима горячий парень просто
01:33:28 (05:01:36) (chat)  konami22: Как же они будут страдать )
01:33:30 (05:01:38) (chat)  angry_ytka: LUL LUL LUL
01:33:31 (05:01:38) (chat)  Rolengstoun: @bogi_m по сравнению одной гриндилой под название пое, тут вообще инфы мало
01:33:41 (05:01:48) (chat)  ChocolateKruasan: сгорел на работе
01:33:46 (05:01:53) (chat)  PazhiloyBatyshkaKolovrat: PazhiloyBatyshkaKolovrat subscribed at Tier 1. They've subscribed for 14 months, currently on a 12 month streak! Аригато в хату, бисёнены KonCha
01:33:46 (05:01:53) (chat)  NekitChannelFun: @gerxagon на нормале играют
01:33:48 (05:01:55) (chat)  zaopdyyy: С Т Р А Д А Т Ь ))
01:33:52 (05:01:59) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5
01:33:52 (05:02:00) (chat)  bobuika: wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers
01:33:58 (05:02:06) (chat)  Mrs_Christ: wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers
01:33:59 (05:02:06) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5
01:34:00 (05:02:07) (chat)  angry_ytka: wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers
01:34:01 (05:02:08) (chat)  YaNeDonya: KonCha
01:34:03 (05:02:10) (chat)  Goldy__: wlg5 wlg5 wlg5 wlg5
01:34:04 (05:02:11) (chat)  markzdes2: копируете и пишите что-бы Денис увидел.Кирки и топоры нужные для добычи новой руды можно выловить с помощью удочки. OSFrog
01:34:05 (05:02:12) (chat)  ASAGIUS: wlg5 wlg5 wlg5 wlg5 wlg5
01:34:05 (05:02:13) (chat)  bogi_m: @Rolengstoun не, ну тут даже сравнивать не нужно)
01:34:07 (05:02:14) (chat)  GERXAGON: @NekitChannelFun Понятно спасибо
01:34:09 (05:02:17) (chat)  StickyHedgehog: wlg5
01:34:29 (05:02:36) (chat)  SwampDoctor113: TPFufun TPFufun TPFufun
01:34:29 (05:02:36) (chat)  Rolengstoun: А есть ещё варфрейм, тут вообще край наверное @bogi_m
01:34:30 (05:02:37) (chat)  Mr_SpeedVagon: можно всё прокачать
01:34:31 (05:02:39) (chat)  gatarelub: есть предметы)
01:34:35 (05:02:42) (chat)  SFA_Doc: есть зелье
01:34:36 (05:02:44) (chat)  ioannnix228: обсидиановое зелье
01:34:40 (05:02:47) (chat)  SupremeLolka: есть и зелья и предметы
01:34:42 (05:02:49) (chat)  tour_bot_a: @WELOVEGAMES ботинки хождения по лаве нужны
01:34:42 (05:02:49) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
01:34:42 (05:02:50) (chat)  NekitChannelFun: зелье обсидиановой кожи @welovegames
01:34:43 (05:02:51) (chat)  konami22: Зелье обсидиановой кожи
01:34:45 (05:02:52) (chat)  SFA_Doc: и предмет, чтобы по хелстоуну ходить
01:34:53 (05:03:01) (chat)  GRIFSTGAMES: обсидиановый череп можно скрафтить
01:35:01 (05:03:08) (chat)  angry_ytka: @gatarelub estiraGrimace
01:35:03 (05:03:10) (chat)  bogi_m: @Rolengstoun Варфрейм ван лав
01:35:21 (05:03:28) (chat)  lucifer_the: @konami22 зачем им ботинки хождения если слитки под лавой?
01:35:33 (05:03:40) (chat)  Cuddle_And_Tea: cuddle22Hi cuddle22Hi cuddle22Hi
01:35:36 (05:03:44) (chat)  bogi_m: @WELOVEGAMES Есть зелье которое даёт возможность плавать в лаве "Зелье обсидиановой кожи"
01:35:39 (05:03:46) (chat)  Pr4ce: @WELOVEGAMES А не лучше тогда просто кирки сделать? Чтобы потом нужную руку копать.
01:35:48 (05:03:55) (chat)  glimosha: убейте чувака с куклой LUL
01:35:50 (05:03:57) (chat)  SupremeLolka: нужно около стака, а это тысяча
01:35:52 (05:03:59) (chat)  NekitChannelFun: ооо, это вам еще далеко до нее
01:35:56 (05:04:03) (chat)  SwampDoctor113: Уф Уф
01:35:56 (05:04:03) (chat)  Rolengstoun: Ого у них тут на входе искажение заспавнилось что-ли7
01:36:00 (05:04:07) (chat)  konami22: Не знаю. Им нужно "Зелье обсидиановой кожи" которое позволит находится в лаве без ущерба.
01:36:02 (05:04:09) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
01:36:02 (05:04:10) (chat)  GERXAGON: Да не артефакт
01:36:03 (05:04:10) (chat)  Rutakaari: @WELOVEGAMES хелстоунт можно добывать бомбами и динамитом, зелье обсидиановой кожи + динамтов на пару золотых и за 5 минут на всех руду накопаете
01:36:05 (05:04:12) (chat)  Mrs_Christ: Kermitpls
01:36:05 (05:04:13) (chat)  FireFly_Serenity: без Дена (
01:36:08 (05:04:15) (chat)  YaNeDonya: тууу
01:36:09 (05:04:16) (chat)  zaopdyyy: @glimosha )))
01:36:10 (05:04:17) (chat)  YaNeDonya: тудудуу
01:36:13 (05:04:20) (chat)  angry_ytka: LUL LUL LUL
01:36:20 (05:04:28) (chat)  Mrs_Christ: началось LULW
01:36:22 (05:04:29) (chat)  angry_ytka: тудтутуту
01:36:28 (05:04:35) (chat)  wlgboy: @angry_ytka вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 17 крышечками. Теперь на вашем балансе 650 крышечек.
01:36:34 (05:04:41) (chat)  Respya: LUL
01:36:34 (05:04:41) (chat)  SupremeLolka: CoolStoryBob
01:36:37 (05:04:45) (chat)  angry_ytka: !wasteland
01:36:38 (05:04:45) (chat)  wlgboy: @angry_ytka вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 54 минуты.
01:36:43 (05:04:50) (chat)  RadioZefir: ОЙ какой тречок)
01:36:44 (05:04:51) (chat)  Cuddle_And_Tea: !wasteland
01:36:44 (05:04:52) (chat)  wlgboy: @Cuddle_And_Tea вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 51 минуту.
01:36:45 (05:04:53) (chat)  Eu6ene: А как же веном?)))
01:36:48 (05:04:55) (chat)  NekitChannelFun: @rutakaari хелстоун не ломается взрывами вроде
01:36:49 (05:04:56) (chat)  wlgboy: @ElfiBelka вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 115 секунд. Вы смогли найти мешочек с 29 крышечками. Теперь на вашем балансе 51565 крышечек.
01:36:50 (05:04:58) (chat)  graaaanet: !wasteland
01:36:51 (05:04:58) (chat)  wlgboy: @graaaanet вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 42 минуты.
01:36:58 (05:05:05) (chat)  wlgboy: @GlebBio вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 108 секунд. Вы обнаружили редкий сундучок с 86 крышечками. Теперь на вашем балансе 1241 крышечка.
01:37:02 (05:05:09) (chat)  YaNeDonya: D:
01:37:02 (05:05:09) (chat)  Mrs_Christ: Kermitpls
01:37:12 (05:05:19) (chat)  T0SHO: !followage
01:37:14 (05:05:21) (chat)  Nightbot: T0SHO has been following WELOVEGAMES for 2 years, 7 months, 2 weeks, 6 days, 1 hour, 17 minutes, 21 seconds
01:37:15 (05:05:23) (chat)  konami22: monkaHmm
01:37:19 (05:05:26) (chat)  SwampDoctor113: Под этот трек нужно тырить платину у соседа TPFufun
01:37:19 (05:05:26) (chat)  AKa_47: funmisCoolStory
01:37:20 (05:05:27) (chat)  Grenwiled: EZ
01:37:26 (05:05:33) (chat)  SupremeLolka: @WELOVEGAMES так кошкой держись за стену
01:37:26 (05:05:33) (chat)  Homchik: !followage
01:37:28 (05:05:36) (chat)  L_E_M: почему они в терарию играют?
01:37:30 (05:05:37) (chat)  nefflexxx: Ден расслабился
01:37:31 (05:05:38) (chat)  Mr_SpeedVagon: внизу голден кролик
01:37:33 (05:05:41) (chat)  Mr_SpeedVagon: !!!!!!!
01:37:35 (05:05:43) (chat)  markzdes2: !followage
01:37:41 (05:05:49) (chat)  Grenwiled: KoolDoge KoolDoge
01:37:42 (05:05:49) (chat)  Mr_SpeedVagon: он 10 голды даёт, если продать
01:37:42 (05:05:49) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
01:37:45 (05:05:53) (chat)  Mrs_Christ: !followage
01:37:47 (05:05:54) (chat)  Nightbot: Mrs_Christ has been following WELOVEGAMES for 2 years, 3 months, 2 weeks, 1 day, 22 hours, 9 minutes, 7 seconds
01:37:50 (05:05:57) (chat)  Cuddle_And_Tea: ricardoFlick
01:37:54 (05:06:02) (chat)  SwampDoctor113: mcaT mcaT mcaT mcaT mcaT
01:37:55 (05:06:02) (chat)  Mr_SpeedVagon: под респом
01:37:56 (05:06:03) (chat)  Goldy__: DIVERS
01:37:58 (05:06:06) (chat)  NekitChannelFun: @l_e_m захотелось LUL нужна какая-то особая причина?
01:38:00 (05:06:07) (chat)  santimentorr: wlgOralb лей это дерьмо wlgOralb
01:38:01 (05:06:08) (chat)  YaNeDonya: D: D:
01:38:03 (05:06:10) (chat)  Lootos812: где респавн
01:38:10 (05:06:17) (chat)  vermeshe1: LUL
01:38:12 (05:06:19) (chat)  Mr_SpeedVagon: пхпххахах
01:38:14 (05:06:21) (chat)  glimosha: BibleThump
01:38:14 (05:06:21) (chat)  SwampDoctor113: Чекни холодильник TPFufun
01:38:15 (05:06:23) (chat)  DrKringge: денис спасай кролика!
01:38:21 (05:06:28) (chat)  Mutabor_Shooter: LUL
01:38:21 (05:06:29) (chat)  Wallsin: OMEGALUL
01:38:27 (05:06:34) (chat)  RadioZefir: Пинк пнтера в тему)
01:38:28 (05:06:35) (chat)  bogi_m: Зелье обсидиановой кожи, даёт имун к лаве
01:38:37 (05:06:44) (chat)  NekitChannelFun: !followage
01:38:39 (05:06:46) (chat)  Nightbot: NekitChannelFun has been following WELOVEGAMES for 1 year, 5 months, 2 weeks, 3 days, 1 hour, 40 minutes, 58 seconds
01:38:48 (05:06:55) (chat)  Rolengstoun: О, я тут вспомнил, они будут рыбалкой заниматься, это же самая чиловая часть игры Pog
01:38:52 (05:06:59) (chat)  Grajord: о топчик ремикс
01:38:58 (05:07:06) (chat)  Do4ka1: )
01:39:07 (05:07:14) (chat)  Rolengstoun: Хотя я так эту дебильную ачивку и не сделал
01:39:09 (05:07:17) (chat)  EMOBLAZE: Ой песенка прикольная
01:39:13 (05:07:20) (chat)  EMOBLAZE: А что за песенка
01:39:15 (05:07:22) (chat)  styart__: LUL ужас какой-то
01:39:17 (05:07:24) (chat)  Pr4ce: Как найти стрим кати?
01:39:20 (05:07:28) (chat)  FireNod: В комнатах не хватает света
01:39:22 (05:07:29) (chat)  Rutakaari: @NekitChannelFun на хардмоде ломается
01:39:23 (05:07:30) (chat)  Mr_SpeedVagon: Нужно свет поставить, а то никто не появится
01:39:23 (05:07:31) (chat)  Mrs_Christ: !kati
01:39:24 (05:07:31) (chat)  Nightbot: Екатерина: twitch.tv/kati
01:39:24 (05:07:32) (chat)  SwampDoctor113: Ночь. Дома никого. Сундуки с платиной
01:39:25 (05:07:33) (chat)  Grajord: лет 5 назад слушал, похожий только с басами
01:39:27 (05:07:34) (chat)  Zertjin: xnj pf nhtr&
01:39:30 (05:07:37) (chat)  Zertjin: что за трек?
01:39:31 (05:07:38) (chat)  Mrs_Christ: Но она не стримит в данный момент
01:39:31 (05:07:38) (chat)  NekitChannelFun: @rolengstoun а зачем им рыбалка? SMOrc
01:39:32 (05:07:39) (chat)  Goldy__: @EMOBLAZE это из фильма Амели)
01:39:42 (05:07:49) (chat)  TrueGamerMan_tv: !up
01:39:42 (05:07:49) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
01:39:42 (05:07:49) (chat)  Nightbot: Онлайн уже 5 hours 7 minutes 59 seconds
01:39:43 (05:07:50) (chat)  EMOBLAZE: @Goldy__ Спасибо) Думаю так найду
01:39:48 (05:07:55) (chat)  Rolengstoun: @NekitChannelFun я не помню SMOrc
01:39:53 (05:08:00) (chat)  Goldy__: @EMOBLAZE точно найдешь)
01:40:34 (05:08:42) (chat)  Rolengstoun: Там вроде че-то падает, а ЛУТБОКСЫ
01:40:37 (05:08:44) (chat)  NekitChannelFun: @rolengstoun только если фишрона бить будут, хотя они вряд-ли дойдут до него)
01:40:37 (05:08:44) (chat)  SupremeLolka: Jebaited
01:40:39 (05:08:47) (chat)  ojieg15031994: дангар строит вип номера для продавцов)
01:40:42 (05:08:49) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
01:40:44 (05:08:51) (chat)  Goldy__: bongoTap
01:40:51 (05:08:58) (chat)  Myfta: Копай
01:40:55 (05:09:03) (chat)  eliamameier: привет пупсы wlgLuv
01:41:00 (05:09:08) (chat)  ChocolateKruasan: bongoTap
01:41:00 (05:09:08) (chat)  SupremeLolka: что за атаки каких-то спамеров SMOrc
01:41:13 (05:09:20) (chat)  Respya: DarkMode CoolStoryBob LUL
01:41:13 (05:09:20) (chat)  Nicothin: wlgOralb
01:41:20 (05:09:28) (chat)  SwampDoctor113: Keepo
01:41:31 (05:09:38) (chat)  Goldy__: @eliamameier wlg5 wlgPled
01:41:33 (05:09:40) (chat)  Apxtech: Apxtech subscribed at Tier 1. They've subscribed for 19 months! Дратути.
01:41:33 (05:09:41) (chat)  deepdrop18: адамчик
01:41:35 (05:09:42) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
01:41:38 (05:09:45) (chat)  ASAGIUS: wlg5 wlg5 wlg5 wlg5 wlg5
01:41:40 (05:09:47) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5
01:41:41 (05:09:48) (chat)  Mrs_Christ: wlg5 wlg5 wlg5
01:41:42 (05:09:49) (chat)  IDentonI: blobDance blobDance blobDance
01:41:44 (05:09:51) (chat)  InFaill: wlg5 wlg5 wlg5 wlg5
01:41:47 (05:09:55) (chat)  santimentorr: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
01:41:51 (05:09:58) (chat)  musicbyrouge: wlg5 wlg5 wlg5 wlg5
01:41:52 (05:09:59) (chat)  Eu6ene: wlgThumb wlg5 wlg5 wlg5 wlg5
01:41:54 (05:10:01) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
01:41:54 (05:10:01) (chat)  Nicothin: дратути
01:41:55 (05:10:02) (chat)  Nospire: wlg5 wlg5 wlg5 OWL2019Tracer OWL2019Tracer
01:41:56 (05:10:04) (chat)  Goldy__: wlg5 wlg5 wlg5 wlg5 wlg5
01:41:59 (05:10:06) (chat)  eliamameier: @goldy__ ты вообще спишь?
01:42:01 (05:10:08) (chat)  deepdrop18: дратути
01:42:03 (05:10:10) (chat)  SwampDoctor113: <3 <3 <3 <3 <3 <3 <3
01:42:04 (05:10:11) (chat)  deepdrop18: лол
01:42:07 (05:10:15) (chat)  svsergeevna: !wasteland
01:42:08 (05:10:15) (chat)  wlgboy: @svsergeevna вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 47 минут.
01:42:08 (05:10:15) (chat)  Rolengstoun: @NekitChannelFun даже жаль что они ниче фармить не будут, всякие сборные арты, типо анха, или телефона, я даже не надеюсь
01:42:09 (05:10:16) (chat)  konami22: о, у мимика норм лут может выпасть
01:42:19 (05:10:27) (chat)  Goldy__: @eliamameier эммм да
01:42:21 (05:10:28) (chat)  angry_ytka: !wasteland
01:42:21 (05:10:28) (chat)  wlgboy: @angry_ytka вы уже находитесь в пустоши. Времени до возвращения: 49 минут.
01:42:32 (05:10:39) (chat)  fertonok: !caps
01:42:32 (05:10:39) (chat)  wlgboy: @fertonok ваш баланс составляет 226 крышечек.
01:42:33 (05:10:40) (chat)  deepdrop18: лольчик пустотик
01:42:36 (05:10:44) (chat)  svsergeevna: @goldy__ привет, дорогая wlgLuv wlgFlowers
01:42:37 (05:10:44) (chat)  Nicothin: !сфзы
01:42:38 (05:10:45) (chat)  fertonok: !inv
01:42:38 (05:10:45) (chat)  wlgboy: @fertonok у вас в инвентаре следующие предметы: 1. [Малая батарейка] 2. [Учебник баллистики «На кого бог пошлёт»] 3. [Очки] 4. [Фальшивое удостоверение Гражданина] 5. [Золотой кулон Анны] 6. [Кожаная куртка] 7. [Значок нонсаба]. Занято слотов: [7/7]
01:42:39 (05:10:47) (chat)  deepdrop18: гипнотик техно
01:42:42 (05:10:49) (chat)  Nicothin: !caps
01:42:42 (05:10:50) (chat)  wlgboy: @Nicothin ваш баланс составляет 78 крышечек.
01:42:43 (05:10:50) (chat)  deepdrop18: ахахахахха
01:42:49 (05:10:56) (chat)  Nicothin: !inv
01:42:49 (05:10:56) (chat)  wlgboy: @Nicothin у вас в инвентаре следующие предметы: 1. [Антирадин]. Занято слотов: [1/1]
01:42:53 (05:11:00) (chat)  IWannaBeCat: Нужно было на табличке написать "тридварас" wlgPeka
01:43:00 (05:11:07) (chat)  SwampDoctor113: Схроны алчного гнома)
01:43:08 (05:11:15) (chat)  murchelko: собери кпк. из часов, металодетектора, зеркала и рочих вещей( которые для удобства) . там очень много можно обьеденить и освободить место в сумках
01:43:09 (05:11:16) (chat)  Goldy__: @svsergeevna о кусь BLELELE wlgLuv
01:43:13 (05:11:21) (chat)  Cuddle_And_Tea: @Nicothin а предметы можно для чего-нибудь использовать?
01:43:15 (05:11:23) (chat)  fertonok: !inv drop 2
01:43:16 (05:11:23) (chat)  wlgboy: @fertonok предмет [Учебник баллистики «На кого бог пошлёт»] изъят из вашего инвентаря.
01:43:19 (05:11:26) (chat)  santimentorr: !wasteland
01:43:19 (05:11:27) (chat)  wlgboy: @santimentorr вы уже находитесь в пустоши. Времени до возвращения: 2 минуты.
01:43:20 (05:11:27) (chat)  Eu6ene: @WELOVEGAMES а меня не записааааал)
01:43:20 (05:11:28) (chat)  gatarelub: @Goldy__ привет, Андрюша :з
01:43:21 (05:11:28) (chat)  NekitChannelFun: @rolengstoun зачем им это все? LUL они ж на нормале LUL + сегодня-завтра уже забросят
01:43:21 (05:11:28) (chat)  deepdrop18: нусьььььь
01:43:27 (05:11:35) (chat)  MILANRODD: Так
01:43:31 (05:11:39) (chat)  MILANRODD: Бот?
01:43:32 (05:11:39) (chat)  wlgboy: @milanrodd Я на службе, сэр wlgF
01:43:34 (05:11:41) (chat)  Nicothin: @cuddle_and_tea, ракеты можно запускать вроде
01:43:42 (05:11:50) (chat)  Nicothin: @milanrodd, бот
01:43:43 (05:11:50) (chat)  gatarelub: !wasteland
01:43:43 (05:11:50) (chat)  wlgboy: @gatarelub вы уже находитесь в пустоши. Времени до возвращения: 25 минут.
01:43:49 (05:11:56) (chat)  Goldy__: @gatarelub wlgPeka и тебе)
01:43:50 (05:11:57) (chat)  MILANRODD: э все работает че вы мне тут tvjuiceOrc
01:43:53 (05:12:00) (chat)  LionSPb: привет всем кого не видел! wlg5 wlgOralb
01:43:53 (05:12:00) (chat)  ASAGIUS: @MILANRODD сабов приветствует через раз, переподключается
01:43:54 (05:12:01) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
01:44:02 (05:12:09) (chat)  SwampDoctor113: Сделайте уже эстетичную крышу
01:44:02 (05:12:09) (chat)  volutar: че тут происходит то
01:44:04 (05:12:11) (chat)  EMOBLAZE: !wasteland
01:44:04 (05:12:12) (chat)  wlgboy: @EMOBLAZE вы уже находитесь в пустоши. Времени до возвращения: 34 минуты.
01:44:07 (05:12:14) (chat)  ASAGIUS: @MILANRODD попробуй кому-то крышечку добавить
01:44:11 (05:12:19) (chat)  Rolengstoun: @NekitChannelFun ну зато они о ключах ничего не узнают, тот кто им шанс такой сделал выпадения, явно больной
01:44:12 (05:12:19) (chat)  Goldy__: @LionSPb привет wlgPled wlg5
01:44:13 (05:12:20) (chat)  Nicothin: мне
01:44:20 (05:12:27) (chat)  iq322: Пикадор
01:44:20 (05:12:27) (chat)  LionSPb: @goldy__ здравствуй wlg5 wlgOralb wlgFlowers
01:44:24 (05:12:31) (chat)  Skipper_Nemo: !passport
01:44:24 (05:12:31) (chat)  wlgboy: @Skipper_Nemo вы успешно прошли проверку на гражданство Убежища. Вам выдано 500 крышечек и 1 слот в инвентаре.
01:44:27 (05:12:34) (chat)  Mutabor_Shooter: !wasteland
01:44:27 (05:12:35) (chat)  wlgboy: @Mutabor_Shooter вы уже находитесь в пустоши. Времени до возвращения: 17 минут.
01:44:29 (05:12:36) (chat)  wlgboy: @santimentorr вы вернулись из пустоши - залог возвращен. Вы нашли обычный предмет на старой свалке - [Магнито-лазерный пистолет]. Положив находку в инвентарь, вы обнаружили, что у вас больше не осталось свободных слотов.
01:44:30 (05:12:37) (chat)  MILANRODD: !caps add Nicothin 1
01:44:31 (05:12:38) (chat)  wlgboy: @Nicothin вам выдали 1 крышечку. Ваш баланс составляет 79 крышечек.
01:44:34 (05:12:41) (chat)  MILANRODD: ??
01:44:40 (05:12:48) (chat)  murchelko: !passport
01:44:41 (05:12:49) (chat)  ASAGIUS: @MILANRODD у меня переподключался
01:44:42 (05:12:49) (chat)  NekitChannelFun: @rolengstoun LUL слыш, фарми
01:44:43 (05:12:51) (chat)  Nicothin: wlgHype
01:44:47 (05:12:54) (chat)  MrDrogoPley: чат , на какой сложности они играют?
01:44:48 (05:12:56) (chat)  fertonok: !inv drop 3
01:44:49 (05:12:56) (chat)  wlgboy: @fertonok предмет [Фальшивое удостоверение Гражданина] изъят из вашего инвентаря.
01:44:53 (05:13:01) (chat)  GERXAGON: да ты сеёзна Бэйл!? 4Head 4Head 4Head
01:44:54 (05:13:02) (chat)  SwampDoctor113: Оружие новое появляется конечно в мире
01:44:58 (05:13:06) (chat)  ThisIsTheCrazyFrog: !inv
01:44:59 (05:13:06) (chat)  wlgboy: @ThisIsTheCrazyFrog в вашем инвентаре нет предметов. Занято слотов: [0/1]
01:45:00 (05:13:07) (chat)  SupremeLolka: @mrdrogopley, обычной
01:45:04 (05:13:11) (chat)  fertonok: !inv drop 2
01:45:04 (05:13:11) (chat)  wlgboy: @fertonok предмет [Очки] изъят из вашего инвентаря.
01:45:09 (05:13:16) (chat)  sabotag_e: а бомбой не разбивается руда, которая киркой не бьётся?
01:45:11 (05:13:18) (chat)  MrDrogoPley: @supremelolka ок , спс
01:45:12 (05:13:19) (chat)  fertonok: !inv
01:45:12 (05:13:19) (chat)  wlgboy: @fertonok у вас в инвентаре следующие предметы: 1. [Малая батарейка] 2. [Золотой кулон Анны] 3. [Кожаная куртка] 4. [Значок нонсаба]. Занято слотов: [4/7]
01:45:12 (05:13:20) (chat)  Nicothin: !inv
01:45:13 (05:13:20) (chat)  wlgboy: @Nicothin у вас в инвентаре следующие предметы: 1. [Антирадин]. Занято слотов: [1/1]
01:45:16 (05:13:23) (chat)  santimentorr: А как слоты открывать?
01:45:17 (05:13:24) (chat)  ASAGIUS: !wasteland cancel
01:45:17 (05:13:24) (chat)  SupremeLolka: @sabotag_e, нет
01:45:17 (05:13:25) (chat)  wlgboy: @ASAGIUS вы вернулись назад в убежище. Залог не возвращен. Вас никто так рано не ждал wlgPeka
01:45:19 (05:13:26) (chat)  SwampDoctor113: + усиленное старое
01:45:25 (05:13:32) (chat)  Nicothin: !wasteland
01:45:25 (05:13:32) (chat)  wlgboy: @Nicothin вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 34 минуты.
01:45:27 (05:13:34) (chat)  Apxtech: А чего Дениску не слышно?
01:45:29 (05:13:36) (chat)  SFA_Doc: опа, ори заиграл
01:45:31 (05:13:39) (chat)  fertonok: !inv drop 1
01:45:31 (05:13:39) (chat)  quinnra: !inv
01:45:32 (05:13:39) (chat)  ASAGIUS: !caps add zengblack 1
01:45:32 (05:13:39) (chat)  wlgboy: @fertonok предмет [Малая батарейка] изъят из вашего инвентаря.
01:45:33 (05:13:40) (chat)  Respya: Ori?
01:45:33 (05:13:41) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
01:45:40 (05:13:47) (chat)  Ansaboff: !wasteland
01:45:40 (05:13:48) (chat)  ASAGIUS: @MILANRODD видишь?
01:45:40 (05:13:48) (chat)  wlgboy: @ansaboff вы уже находитесь в пустоши. Времени до возвращения: 33 минуты.
01:45:41 (05:13:48) (chat)  wlgboy: @eldalomeo вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 24 крышкечами. Теперь на вашем балансе 2410 крышечек.
01:45:51 (05:13:58) (chat)  quinnra: !inv wlgF
01:45:54 (05:14:01) (chat)  Mrs_Christ: !caps add zengblack 1
01:45:54 (05:14:02) (chat)  fertonok: !buy
01:45:55 (05:14:02) (chat)  quinnra: !inv
01:45:56 (05:14:03) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
01:45:59 (05:14:07) (chat)  Respya: Kreygasm какой-то сборник самых классных саундтреков
01:46:03 (05:14:10) (chat)  Shallacatop: всем привет) о музыка из Ori
01:46:07 (05:14:14) (chat)  EMOBLAZE: Ну все
01:46:09 (05:14:16) (chat)  Nicothin: wlgDance
01:46:11 (05:14:18) (chat)  Goldy__: ооооооо
01:46:12 (05:14:20) (chat)  EMOBLAZE: Теперь пойду ИП пересматривать
01:46:15 (05:14:22) (chat)  Dimka90: wlgAsm wlgAsm wlgAsm
01:46:15 (05:14:23) (chat)  Myfta: Kreygasm
01:46:15 (05:14:23) (chat)  LionSPb: wlgCorn
01:46:16 (05:14:23) (chat)  SpickerVaVa: BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump
01:46:20 (05:14:27) (chat)  romantikk856: ТАДАДА
01:46:21 (05:14:28) (chat)  ChocolateKruasan: bongoTap
01:46:22 (05:14:29) (chat)  makushima: ту ду дум
01:46:22 (05:14:30) (chat)  Mr_SpeedVagon: СИСЬКИ И ДРАКООООНЫ
01:46:24 (05:14:31) (chat)  Grenwiled: CouldYouNot
01:46:25 (05:14:32) (chat)  Snaffizy: туттууту
01:46:25 (05:14:32) (chat)  quinnra: !inv
