18:37:48 (00:00:06) (chat)  Kate_Rey: алло?
21:29:19 (02:51:38) (chat)  Noelle666: Ребят, на вкус и цвет. Пожалуйста, не жалуйтесь. Не нравится - не смотрите и не играйте.
21:29:23 (02:51:42) (chat)  eshmothfucwillams: @mrbill_1990 игра не обязана тебе нравиться
21:29:32 (02:51:50) (chat)  deathvades: зато ту нет sjw и политики
21:29:34 (02:51:52) (chat)  van_fak: @sloyka_s_sirom ну он посмотрел и написал, чуешь связь? Kappa
21:29:34 (02:51:53) (chat)  trom6one: @ArtGamesLP на кое-что у них явно нет объяснения) почему бы для груза не сделать тент из материала из которого сделан костюм)
21:29:39 (02:51:57) (chat)  coala_MONSTER: я хочу, чтобы этот робот пел мне на ночь
21:29:46 (02:52:05) (chat)  sloyka_s_sirom: @ArtGamesLP зато вот симулятор голубя, эт да, игра года LUL
21:29:59 (02:52:17) (chat)  gwen_devil: а музыку больше не включают когда идешь куда нибудь?
21:30:07 (02:52:26) (chat)  sloyka_s_sirom: @van_fak так и пусть тихо уходит SMOrc
21:30:12 (02:52:30) (chat)  anzay_ru: опарыши всех спасут
21:30:12 (02:52:30) (chat)  Nightbot: Уважаемые нонсабы, не забудьте напомнить стримлеру включить вам рекламу. Спасибо
21:30:29 (02:52:47) (chat)  aaarggh: Тёма, попей водички ирл
21:30:30 (02:52:48) (chat)  jubi_ju: хотела спросить, так ли задумывалось использование этой тележки, а потом поняла, что анимацию то написали не просто так LUL
21:30:34 (02:52:53) (chat)  itaryh: Из прохождения мы узнали: 1) Тема любит башни, 2) вода - опасна!, 3) забрасывать экскрементами противника - это победа
21:30:57 (02:53:16) (chat)  Vikingvladivostokrus: Погоду посмотри
21:31:23 (02:53:41) (chat)  mrbill_1990: Ну да. Сейчас вообще создавать игры это дурной тон. Тупых гриндилок с кучей микротранзакций зато хоть отбавляй
21:31:37 (02:53:55) (chat)  gwen_devil: ты б в тележку груз спустил)
21:31:54 (02:54:13) (chat)  It_is_strawberry_cake: @mrbill_1990 Ни в одну из этих игр тебя играть не заставляют, так же, как и смотреть стримы по ним
21:32:08 (02:54:27) (chat)  nightlancerx: это кто там такой философ?
21:32:12 (02:54:30) (chat)  nightlancerx: всем привет
21:32:15 (02:54:33) (chat)  trom6one: горочка, держу в курсе
21:32:31 (02:54:49) (chat)  eshmothfucwillams: @mrbill_1990 ты же ни рубля не потратил на эту игру. что же ноешь тогда?
21:32:40 (02:54:58) (chat)  Luminus_fox: Плохая идея
21:32:42 (02:55:00) (chat)  Luminus_fox: Плохая
21:32:43 (02:55:02) (chat)  Noelle666: сохранись только)
21:32:44 (02:55:03) (chat)  Abrams05: Нинада ехать навернешся
21:32:46 (02:55:04) (chat)  vnikopol: Да лучший дрифт будет Kappa
21:32:47 (02:55:06) (chat)  heavenkot: ну че ранарод artgam2AGHeavyHorns
21:32:48 (02:55:07) (chat)  DragoFlugegecheimen: @ArtGamesLP можт нинада?!
21:32:51 (02:55:09) (chat)  EnJiL: artgam2Demon artgam2Demon
21:32:52 (02:55:10) (chat)  Luminus_fox: Частично одобряем LUL LUL
21:32:52 (02:55:10) (chat)  jubi_ju: LUL gg
21:32:53 (02:55:12) (chat)  trom6one: F LUL
21:32:54 (02:55:12) (chat)  DragoFlugegecheimen: Давай ненад
21:32:55 (02:55:13) (chat)  Andjey_Kharkov: Куда там Линк со своим щитом вместо сноуборда. Вот тележка
21:33:00 (02:55:18) (chat)  anzay_ru: куда идём мы с Игорьком, большой-большой секрет
21:33:00 (02:55:19) (chat)  gwen_devil: ну с богом
21:33:02 (02:55:20) (chat)  greatday007: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2Demon artgam2RAGE
21:33:07 (02:55:25) (chat)  greatday007: погнали!
21:33:08 (02:55:26) (chat)  EnJiL: ща поржем LUL
21:33:10 (02:55:28) (chat)  sloyka_s_sirom: @mrbill_1990 вот интересно, а про ведьмака третьего с его гриндом и довольно однотипными квестами в духе "убей призрака" тоже так скажешь?
21:33:11 (02:55:29) (chat)  DragoFlugegecheimen: Это как на картонке по лядоной горке
21:33:16 (02:55:34) (chat)  DeasteR1991: STEEP
21:33:17 (02:55:36) (chat)  Noelle666: уиииииии
21:33:27 (02:55:45) (chat)  It_is_strawberry_cake: POGSLIDER
21:33:27 (02:55:45) (chat)  Noelle666: POGSLIDE
21:33:31 (02:55:49) (chat)  sloyka_s_sirom: @ArtGamesLP шлем забыл!
21:33:34 (02:55:52) (chat)  trom6one: artgam2MLG artgam2MLG artgam2MLG
21:33:34 (02:55:53) (chat)  Konaken_Skywalker: кстати, да, напоминает зельду, но во вселенной кодзимы LUL
21:33:36 (02:55:54) (chat)  heavenkot: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
21:33:37 (02:55:56) (chat)  jubi_ju: 10 из 10
21:33:39 (02:55:57) (chat)  gwen_devil: ну почти)
21:33:39 (02:55:57) (chat)  It_is_strawberry_cake: LUL LUL LUL
21:33:39 (02:55:57) (chat)  coala_MONSTER: LUL LUL LUL
21:33:40 (02:55:58) (chat)  Noelle666: ну, почти)
21:33:42 (02:56:00) (chat)  XerkusDotPro: Ридус, ты как? Нормано
21:33:42 (02:56:01) (chat)  Luminus_fox: 12 из 10
21:33:43 (02:56:02) (chat)  nightlancerx: чат, а они с Артуром в одном мире играют?
21:33:44 (02:56:02) (chat)  Abrams05: лол
21:33:45 (02:56:03) (chat)  Ligarok: минус груз
21:33:46 (02:56:04) (chat)  raven127: LUL LUL LUL
21:33:46 (02:56:05) (chat)  trom6one: кайфанул LUL
21:33:48 (02:56:06) (chat)  mrsinnerman: peepoSpeed peepoSpeed peepoSpeed
21:33:49 (02:56:07) (chat)  greatday007: спуск прошёл отлично!
21:33:50 (02:56:08) (chat)  heavenkot: artgam2Potter
21:33:50 (02:56:08) (chat)  Noelle666: давай по-новой, Миша. всё фигня
21:33:53 (02:56:12) (chat)  jubi_ju: Игорю с детства надо знать что за хорошей полосой всегда плохая!
21:33:54 (02:56:12) (chat)  DragoFlugegecheimen: Ору просто
21:33:57 (02:56:15) (chat)  kovarnisimbiot: OMEGALUL LUL LUL LUL LUL
21:33:58 (02:56:16) (chat)  itaryh: LUL LUL LUL
21:34:03 (02:56:21) (chat)  mrsinnerman: не получилось, не фартануло
21:34:06 (02:56:25) (chat)  sova12311: я же говорил не надо
21:34:18 (02:56:36) (chat)  Noelle666: peepoSpeed peepoSpeed peepoSpeed
21:34:21 (02:56:39) (chat)  It_is_strawberry_cake: POGSLIDER POGSLIDER POGSLIDER
21:34:22 (02:56:40) (chat)  mrsinnerman: peepoSpeed peepoSpeed peepoSpeed peepoSpeed
21:34:25 (02:56:44) (chat)  Noelle666: LUL
21:34:28 (02:56:46) (chat)  It_is_strawberry_cake: LUL LUL
21:34:28 (02:56:46) (chat)  jubi_ju: CoolStoryBob NotLikeThis
21:34:29 (02:56:47) (chat)  Luminus_fox: bufaLewd
21:34:30 (02:56:49) (chat)  Konaken_Skywalker: LUL LUL
21:34:32 (02:56:50) (chat)  trom6one: ору
21:34:32 (02:56:50) (chat)  Noelle666: Не, ну третья точно получится
21:34:34 (02:56:52) (chat)  EnJiL: почта россии artgam2Uknow
21:34:35 (02:56:53) (chat)  Gh0st_Head: jstMoshna jstMoshna
21:34:36 (02:56:54) (chat)  coala_MONSTER: музыка LUL
21:34:41 (02:56:59) (chat)  greatday007: artgam2Slish artgam2MLG artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
21:34:47 (02:57:06) (chat)  jubi_ju: просто съедь, ало
21:34:51 (02:57:09) (chat)  DragoFlugegecheimen: Two hours later
21:34:57 (02:57:15) (chat)  Andjey_Kharkov: Типичная доставка от Мафии
21:34:58 (02:57:17) (chat)  Luminus_fox: Илитный доставщик. Работник месяца
21:35:01 (02:57:20) (chat)  Luminus_fox: SeemsGood
21:35:06 (02:57:24) (chat)  trom6one: просто не падай лол
21:35:15 (02:57:33) (chat)  Luminus_fox: bufaOops
21:35:15 (02:57:34) (chat)  Noelle666: NotLikeThis gachiOnFIRE
21:35:16 (02:57:34) (chat)  kovarnisimbiot: LUL LUL LUL LUL LUL LUL LUL
21:35:16 (02:57:34) (chat)  SlasHeR_93: LUL
21:35:16 (02:57:35) (chat)  EnJiL: NotLikeThis LUL
21:35:18 (02:57:36) (chat)  Lurelin: Именно так почтой и доставляют хрупкие посылки LUL
21:35:19 (02:57:38) (chat)  Noelle666: закон подлости
21:35:19 (02:57:38) (chat)  It_is_strawberry_cake: LUL LUL
21:35:19 (02:57:38) (chat)  mrsinnerman: peepoSpeed peepoSpeed peepoSpeed peepoSpeed peepoSpeed
21:35:22 (02:57:41) (chat)  DragoFlugegecheimen: LUL LUL LUL LUL
21:35:26 (02:57:44) (chat)  Dark__Embrace: Пешком может быстрее?
21:35:27 (02:57:45) (chat)  greatday007: в первый раз мы не знали, что он можеи упасть
21:35:28 (02:57:46) (chat)  velasiped1: что так сложно?
21:35:29 (02:57:47) (chat)  Konaken_Skywalker: в 4 раз прямо на старте нужно упасть LUL LUL
21:35:32 (02:57:50) (chat)  jubi_ju: 1. вода это плохо 2. камни это плохо
21:35:38 (02:57:56) (chat)  MatrixxStar: кто мы? я тут один же
21:35:50 (02:58:08) (chat)  sloyka_s_sirom: @ArtGamesLP и все равно найдутся те, которые скажут, что в игре делать нечего LUL
21:35:58 (02:58:16) (chat)  DeasteR1991: ахахаха
21:36:01 (02:58:19) (chat)  jubi_ju: LUL LUL
21:36:03 (02:58:21) (chat)  velasiped1: LUL LUL LUL
21:36:04 (02:58:23) (chat)  stas_sadyk: LUL LUL LUL
21:36:06 (02:58:24) (chat)  It_is_strawberry_cake: OMEGALUL
21:36:06 (02:58:24) (chat)  jubi_ju: го победную
21:36:07 (02:58:25) (chat)  AlexeiHammer: ахахха)
21:36:07 (02:58:26) (chat)  EnJiL: может нинада artgam2Cry artgam2Cry
21:36:11 (02:58:29) (chat)  p0p0lzen: аж лут во все стороны брызнул)
21:36:12 (02:58:30) (chat)  tommywasco: игорь BibleThump
21:36:15 (02:58:34) (chat)  MMosfet: Он слишком стар для этого дерьма)
21:36:21 (02:58:39) (chat)  Luminus_fox: Интересный геймплей
21:36:22 (02:58:40) (chat)  XerkusDotPro: так падает, что аж сигналка срабатывает
21:36:22 (02:58:41) (chat)  coala_MONSTER: Сэм осваивает сноуборд LUL
21:36:25 (02:58:43) (chat)  greatday007: дрифт прекрасен, главное ещё разок попытаться)
21:36:27 (02:58:45) (chat)  anzay_ru: дите вызывает полицию
21:36:33 (02:58:52) (chat)  trom6one: это самое крутое развлеки себя из тех что я видел
21:36:38 (02:58:57) (chat)  Vikingvladivostokrus: Артем, а сколько у тебя весят автосохранение, а, то пишут
21:36:43 (02:59:01) (chat)  Andjey_Kharkov: Плюс охеренный и непонятный сюжет
21:36:45 (02:59:04) (chat)  Noelle666: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius
21:36:47 (02:59:06) (chat)  Luminus_fox: artgam2MLG artgam2MLG artgam2MLG
21:36:49 (02:59:07) (chat)  EnJiL: страдания попой вызывает у некоторых LUL
21:36:51 (02:59:09) (chat)  jubi_ju: даже тормознуть смог)
21:36:51 (02:59:10) (chat)  It_is_strawberry_cake: artgam2MLG artgam2MLG artgam2MLG
21:36:52 (02:59:10) (chat)  eshmothfucwillams: Для них все хня кроме контры
21:37:02 (02:59:20) (chat)  stas_sadyk: музон Kreygasm
21:37:04 (02:59:22) (chat)  Noelle666: PepePls PepePls PepePls PepePls PepePls PepePls
21:37:04 (02:59:23) (chat)  tommywasco: и музоон
21:37:13 (02:59:31) (chat)  MatrixxStar: @ArtGamesLP это про меня. Ну что я могу поделать? Не умею в развлеки себя сам
21:37:26 (02:59:44) (chat)  sloyka_s_sirom: @ArtGamesLP я вот был настроен очень скептически, но это оказалось топ, вот ради такого я бы купил плойку
21:37:27 (02:59:46) (chat)  alice_morietur: Секиро тоже классная!
21:37:38 (02:59:56) (chat)  Abrams05: Тема где control?
21:37:42 (03:00:01) (chat)  gwen_devil: покатайся
21:37:48 (03:00:06) (chat)  velasiped1: плюсую, жаль нету времени самому ее пройти, может, когда на пк выйдет, куплю
21:37:52 (03:00:10) (chat)  RiskayushuiPyosik: @ArtGamesLP метро CarlSmile
21:37:53 (03:00:12) (chat)  It_is_strawberry_cake: А еще игра заставляет думать над сюжетом WeSmart
21:38:03 (03:00:21) (chat)  jubi_ju: Инквизицию не забывай <3
21:38:04 (03:00:23) (chat)  heavenkot: @riskayushuipyosik artgam2Potter
21:38:11 (03:00:29) (chat)  unknownes: Классная музыка для этой игры
21:38:15 (03:00:34) (chat)  Noelle666: PepePls PepePls PepePls PepePls PepePls PepePls
21:38:16 (03:00:35) (chat)  eshmothfucwillams: @It_is_strawberry_cake и комплексовать из-за своей тупости LUL
21:38:19 (03:00:38) (chat)  sloyka_s_sirom: @It_is_strawberry_cake а мне больше в кайф не думать во время доставок LUL
21:38:23 (03:00:41) (chat)  alice_morietur: @ArtGamesLP, может потом еще МГС остальные?
21:38:23 (03:00:41) (chat)  mrsinnerman: FeelsRainMan FeelsRainMan FeelsRainMan FeelsRainMan
21:38:36 (03:00:54) (chat)  trom6one: надо отжать грузовик artgam2Krisa
21:38:38 (03:00:56) (chat)  It_is_strawberry_cake: @eshmothfucwillams Да нееее ResidentSleeper
21:38:38 (03:00:56) (chat)  anzay_ru: здесь не падай, вон там можно упасть
21:38:38 (03:00:57) (chat)  Andjey_Kharkov: Которую можно утопить
21:38:44 (03:01:02) (chat)  vnikopol: фильм? Kappa
21:38:45 (03:01:03) (chat)  EnJiL: фантом пэйн Kreygasm
21:38:46 (03:01:05) (chat)  It_is_strawberry_cake: @sloyka_s_sirom Не забывай держать в курсе CarlSmile
21:39:03 (03:01:21) (chat)  Noelle666: расслабляющая атмосфера
21:39:11 (03:01:29) (chat)  eshmothfucwillams: А KSP 2 в этом году выходит?
21:39:14 (03:01:33) (chat)  MatrixxStar: @ArtGamesLP ты по подписке ориджин аксес будешь играть в зв?
21:39:24 (03:01:42) (chat)  trom6one: стелс LUL
21:39:40 (03:01:58) (chat)  alice_morietur: Без палева)
21:39:46 (03:02:05) (chat)  aaarggh: Не находил постройки знакомых стримеров?
21:39:54 (03:02:12) (chat)  Konaken_Skywalker: @eshmothfucwillams вроде в 20
21:39:55 (03:02:13) (chat)  sloyka_s_sirom: @eshmothfucwillams Kerbal Space Program?
21:40:01 (03:02:20) (chat)  It_is_strawberry_cake: Говорят, Кодзима потом за производство фильмов взяться собрался, вот уж от кого я б точно ждала с нетерпением, что получится POGSLIDER
21:40:06 (03:02:24) (chat)  eshmothfucwillams: @sloyka_s_sirom агась
21:40:09 (03:02:27) (chat)  Nightbot: На разные суммы доната стоят разные оповещения. АЦКИЕ АЛЕРТЫ на 666 и 6666 рублей. . От 50 до 299, от 300 до 499, от 500 до 799, от 800 до 999, от 1000 до 1299, от 1300 и так далее. https://donatepay.ru/don/artgames
21:40:10 (03:02:28) (chat)  piratglazASStik: а шо происходит?
21:40:21 (03:02:39) (chat)  Noelle666: @It_is_strawberry_cake ага, ему б изначально кино делать - такой потенциал
21:40:28 (03:02:46) (chat)  ganelonn: Кодзима сам музыку подбирал к игре? @ArtGamesLP
21:40:29 (03:02:47) (chat)  sloyka_s_sirom: @eshmothfucwillams я еще во второй не все исследовал!
21:40:40 (03:02:58) (chat)  heavenkot: @ganelonn он ее сам писал
21:41:04 (03:03:23) (chat)  ganelonn: @heavenkot и исполнял тогда уж :)
21:41:06 (03:03:24) (chat)  Nightbot: Наш сервер в ДИСКОРДЕ. Присоединяйттесь: https://discordapp.com/invite/999ZDJs
21:41:21 (03:03:40) (chat)  gwen_devil: воу че такое
21:41:24 (03:03:43) (chat)  It_is_strawberry_cake: @Noelle666 Вот-вот, катсцены в играх просто бомбические, сюжет подается так, что интересно над ним размышлять и строить свои догадки, а если это все будет в качестве фильма.... Kreygasm
21:41:32 (03:03:50) (chat)  Konaken_Skywalker: о, они сами машину подогнали LUL
21:41:37 (03:03:55) (chat)  Luminus_fox: Опа. Тачку прикатили
21:42:05 (03:04:23) (chat)  sloyka_s_sirom: Чтобы наверняка не утопил даже две LUL
21:42:06 (03:04:25) (chat)  Nightbot: Записи стримов на Ютубе тут https://www.youtube.com/channel/UCGxQiNmp179gIJRCs47IRRg
21:42:07 (03:04:25) (chat)  AlexeiHammer: оо ща бы двоих разом
21:42:15 (03:04:33) (chat)  gwen_devil: аж 2 тачилы можно утопить
21:42:15 (03:04:33) (chat)  jubi_ju: какие дружелюбные!
21:42:17 (03:04:35) (chat)  Noelle666: застрял
21:42:21 (03:04:40) (chat)  EnJiL: вот чо им надо, вокруг и так куча посылок валяется artgam2Cry
21:42:24 (03:04:42) (chat)  velasiped1: а вот и 1 баг))
21:42:29 (03:04:47) (chat)  Andjey_Kharkov: Я так понял, если бола попадает на шею, то сразу в нокаут
21:42:51 (03:05:09) (chat)  tommywasco: @velasiped1 гениальный баг Jebaited
21:42:58 (03:05:16) (chat)  jubi_ju: они видят, кто тут, и всё равно вырываются? смело
21:43:04 (03:05:23) (chat)  Nightbot: Команды для бота в нашем чате: !time !game !youtube !vk !discord !alert
21:43:19 (03:05:38) (chat)  EnJiL: подсрачник LUL
21:43:20 (03:05:38) (chat)  mrsinnerman: Тикает FeelsRainMan FeelsRainMan FeelsRainMan FeelsRainMan
21:43:28 (03:05:47) (chat)  Konaken_Skywalker: машину угнали SwiftRage
21:43:31 (03:05:49) (chat)  mrsinnerman: peepoSpeed peepoSpeed peepoSpeed
21:43:51 (03:06:10) (chat)  It_is_strawberry_cake: Ващеее пустая и неинтересная игра, да? CoolStoryBob
21:44:04 (03:06:23) (chat)  gwen_devil: скока груза
21:44:11 (03:06:29) (chat)  Luminus_fox: Луууутттт
21:44:14 (03:06:32) (chat)  Andjey_Kharkov: Нам тоже когда-нибудь такую джедайскую палку дадут?
21:44:22 (03:06:40) (chat)  coala_MONSTER: Машинка artgam2Demon
21:44:23 (03:06:42) (chat)  kahito_: Хорошо глаза у Игоря прикрыты, ато плохому научится
21:44:26 (03:06:44) (chat)  sergeykz: лут, лут artgam2Wtf SMOrc artgam2Wtf
21:44:41 (03:06:59) (chat)  anzay_ru: короче, самбо рулит
21:44:55 (03:07:14) (chat)  equinox213: Вечерочеки, чат
21:45:06 (03:07:24) (chat)  It_is_strawberry_cake: @equinox213 Привет VoHiYo
21:45:09 (03:07:28) (chat)  Nightbot: Дорогой зритель, ты можешь поддержать стримера по этой ссылочке, спасибо. https://donatepay.ru/don/artgames Топ донатер в конце месяца может выбрать игру для стрима.
21:45:11 (03:07:29) (chat)  Luminus_fox: @equinox213 artgam2AGHeavyHorns evosayNyamka
21:45:15 (03:07:33) (chat)  AlexeiHammer: Дали бы какую нибудь кувалду что бы ноги ломать но не убивать)
21:45:32 (03:07:51) (chat)  vnikopol: новая тачка
21:45:44 (03:08:02) (chat)  FrankyFTP: А что будет, если убить этих челиков?
21:45:48 (03:08:06) (chat)  It_is_strawberry_cake: @AlexeiHammer Ты не коллектором работаешь, случайно? artgam2Scared
21:45:53 (03:08:12) (chat)  gwen_devil: взорвутся вроде
21:45:57 (03:08:15) (chat)  heavenkot: Представляю Дашу в этой игре artgam2Scared
21:45:58 (03:08:17) (chat)  sloyka_s_sirom: Ля, не могу я в праздник в сухомятку сидеть, пойду в магазин
21:46:03 (03:08:21) (chat)  Andjey_Kharkov: И почему тут вдруг гринд, говорят, адский, если с одного такого замеса ресов выше крыши. Это не многочасовые посиделки как у убейсофт или других подобных играх
21:46:06 (03:08:24) (chat)  AlexeiHammer: Слишком уж пацифистская игра))
21:46:20 (03:08:38) (chat)  AlexeiHammer: It_is_strawberry_cake даи не)
21:46:30 (03:08:48) (chat)  Vikingvladivostokrus: Ботинки у тебя уже подуставшие
21:46:33 (03:08:52) (chat)  It_is_strawberry_cake: @AlexeiHammer haHAA
21:46:36 (03:08:55) (chat)  Kalitvenic: и пробуем этой тачкой, достать застрявшую тачку. artgam2Iq20 artgam2Iq20
21:46:37 (03:08:56) (chat)  gwen_devil: тут и так проблемы со смертью и трупами.. плодить трупы лучше не стоит
21:46:44 (03:09:03) (chat)  mrsinnerman: Ага, сломаешь так ноги, челик помрет либо от шока, либо от потери крови, либо от того шо он непойми где и без припасов. Как итог - еще один кратер
21:46:50 (03:09:09) (chat)  Konaken_Skywalker: @alexeihammer от потери крови и болевого шока помрут тогда, если ноги ломать
21:46:52 (03:09:10) (chat)  anzay_ru: это игра про ДТП
21:46:59 (03:09:18) (chat)  Andjey_Kharkov: Где тут ближайшая река, у нас есть новый грузовик шоб утопить
21:47:20 (03:09:39) (chat)  gwen_devil: тележка у нас?
21:47:25 (03:09:44) (chat)  AlexeiHammer: Так мы нежно
21:47:46 (03:10:05) (chat)  AlexeiHammer: Обезбол херануть на них и ломать го)
21:47:58 (03:10:16) (chat)  gwen_devil: ооо как много всего
21:47:59 (03:10:17) (chat)  Ign_at: @mrsinnerman можно было их в крематорий притащить)
21:48:06 (03:10:25) (chat)  Andjey_Kharkov: Болаган бы другой взять
21:48:21 (03:10:39) (chat)  Luminus_fox: 1 патрон @ArtGamesLP
21:49:05 (03:11:24) (chat)  Noelle666: bufaNinya bufaNinya bufaNinya
21:49:07 (03:11:25) (chat)  Andjey_Kharkov: Стеееееелс
21:49:14 (03:11:32) (chat)  Ign_at: Такой грохот)
21:49:16 (03:11:35) (chat)  Noelle666: стэлсим как Снейк
21:49:18 (03:11:36) (chat)  kahito_: Игорь похоже свой год в армии уже оттарабанил
21:49:23 (03:11:41) (chat)  velasiped1: блин, сколько лута!
21:49:39 (03:11:57) (chat)  It_is_strawberry_cake: Сейчас такой Метал Гир попер LUL
21:49:48 (03:12:06) (chat)  velasiped1: а коробка есть?
21:49:51 (03:12:09) (chat)  anzay_ru: Сэм нападает на мирных фермеров
21:49:55 (03:12:13) (chat)  Andjey_Kharkov: Щас Ыгорь насмотрится всякого
21:50:02 (03:12:21) (chat)  ifrit_n12: 3
21:50:08 (03:12:27) (chat)  Nightbot: По моему промокоду ARTGAMES ты получишь бонус до 6500 RUB при первом депозите - http://bit.ly/2Gh0MpU
21:50:25 (03:12:43) (chat)  EnJiL: а вот с рэгдолом беда чот
21:50:35 (03:12:53) (chat)  gwen_devil: азаза
21:50:44 (03:13:03) (chat)  DeasteR1991: соберем все и застрянем в воде
21:50:51 (03:13:09) (chat)  greatday007: даааааа, всё забирай!!! artgam2RAGE artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
21:50:51 (03:13:10) (chat)  yura112233: а можно ли загрузить тележки и привязать к грузовику сзади?
21:50:58 (03:13:17) (chat)  Konaken_Skywalker: @artgameslp а можно тележки прицепить к машине? тогда бы ещё больше лута везли бы PogChamp
21:51:00 (03:13:18) (chat)  gwen_devil: у нас тележки . не застрянем
21:51:04 (03:13:22) (chat)  heavenkot: artgam2RAGE
21:51:17 (03:13:35) (chat)  sloyka_s_sirom: @DeasteR1991 ой да было всего дважды LUL
21:51:39 (03:13:57) (chat)  Luminus_fox: Забайчено
21:51:39 (03:13:57) (chat)  AlexeiHammer: Це тупо Хитман лысый)
21:51:42 (03:14:01) (chat)  vnikopol: а можно два грузовика соединить?
21:51:47 (03:14:05) (chat)  Ligarok: а дубинки как у этих нет?
21:51:48 (03:14:06) (chat)  Luminus_fox: Достреляй болтер
21:52:17 (03:14:35) (chat)  Luminus_fox: SeemsGood
21:52:22 (03:14:41) (chat)  gwen_devil: если как нибудь сесть как то можно за стопку груза сойти
21:52:24 (03:14:43) (chat)  AlexeiHammer: точнее волосатый
21:52:25 (03:14:43) (chat)  Redriar_: OMEGALUL
21:52:26 (03:14:45) (chat)  DragoFlugegecheimen: Тут действует правило бетмена. Ведь бетмен не убивает людей, хоть и бьёт их так что там пол туловка ломается)))
21:52:32 (03:14:51) (chat)  anzay_ru: то ли буденновка выдает, то ли чемоданы на спине
21:52:46 (03:15:05) (chat)  gwen_devil: да.. точно как в бетмене
21:53:03 (03:15:22) (chat)  Luminus_fox: Все. С ребятами "договорились". Вывозим
21:53:09 (03:15:28) (chat)  itaryh: @anzay_ru только благодаря тени они могут обнаружить Темощку
21:53:14 (03:15:32) (chat)  sergeykz: евро трак
21:53:19 (03:15:37) (chat)  LiaJill: @ArtGamesLP Джек рассказывал, что у него коллекционку ДС на таможне задержали, типа что за ребенок внутри? LUL в тви писал LUL
21:53:23 (03:15:41) (chat)  heavenkot: едем в польшу
21:53:25 (03:15:44) (chat)  DeasteR1991: @ArtGamesLP машини две. обе подгони зхагрузи. потом на 1 ввернешся и на второй уедеш
21:53:28 (03:15:46) (chat)  greatday007: @ArtGamesLP офигенный ход))) мегалут!
21:54:07 (03:16:25) (chat)  gwen_devil: а че еще строить можно?
21:54:22 (03:16:41) (chat)  Konaken_Skywalker: а мы застрянет в дверном проёме, если высокий груз на спине будет? @artgameslp
21:54:41 (03:16:59) (chat)  jubi_ju: ну так а им откуда знать, что там? на скане показало ребенка, и они конечно сразу офигели)
21:54:48 (03:17:06) (chat)  LiaJill: !time
21:54:48 (03:17:06) (chat)  Nightbot: Стрим идет уже 3 hours 17 minutes 18 seconds
21:54:51 (03:17:09) (chat)  itaryh: @konaken_skywalker груз упадет. Уже было пару раз
21:54:55 (03:17:13) (chat)  FaCkEm0uT: Деградатути KappaPride
21:55:05 (03:17:23) (chat)  Noelle666: @FaCkEm0uT GivePLZ
21:55:14 (03:17:33) (chat)  Konaken_Skywalker: @itaryh проморгал значит
21:55:20 (03:17:38) (chat)  gwen_devil: себе захотели
21:55:20 (03:17:39) (chat)  FaCkEm0uT: @Noelle666 lfsM lfsLB
21:55:26 (03:17:45) (chat)  Luminus_fox: @FaCkEm0uT GivePLZ bufaLove
21:55:34 (03:17:52) (chat)  Noelle666: LUL
21:55:35 (03:17:53) (chat)  XerkusDotPro: @DragoFlugegecheimen Это они сами. Даже в новостях говорят: "Скончались от полученных ран" Они скончалсь, а не бетмен их ско.. хм, убил
21:55:36 (03:17:54) (chat)  DeasteR1991: ахахаха
21:55:36 (03:17:55) (chat)  velasiped1: LUL
21:55:40 (03:17:59) (chat)  Heropor: LUL LUL
21:55:43 (03:18:02) (chat)  gwen_devil: ну вот наглядный пример
21:55:44 (03:18:02) (chat)  FaCkEm0uT: @Luminus_fox lfsD lfs69
21:55:45 (03:18:03) (chat)  Luminus_fox: LUL LUL LUL
21:55:47 (03:18:05) (chat)  deathvades: где то радуется одна Даша
21:55:48 (03:18:06) (chat)  Redriar_: OMEGALUL
21:55:50 (03:18:09) (chat)  anzay_ru: что-то упало, проверь
21:55:53 (03:18:11) (chat)  trom6one: LUL
21:55:54 (03:18:13) (chat)  ifrit_n12: багато
21:55:55 (03:18:13) (chat)  Noelle666: симулятор Даши
21:56:08 (03:18:26) (chat)  itaryh: @konaken_skywalker BloodTrail
21:56:08 (03:18:26) (chat)  FaCkEm0uT: 250 кг придел груза?
21:56:08 (03:18:26) (chat)  Heropor: Ридус,ар ю окей?
21:56:10 (03:18:28) (chat)  equinox213: Они просто себе диск забрали и в сторожке гоняют
21:56:12 (03:18:31) (chat)  FaCkEm0uT: Ты шо, киборгнулся?
21:56:13 (03:18:31) (chat)  gwen_devil: почему Даша не играет в эту игру
21:56:22 (03:18:40) (chat)  greatday007: и это "перпективный носильщик"? да это тактиш 100500
21:56:26 (03:18:44) (chat)  trom6one: почему-то Доша вспомнилась LUL
21:56:39 (03:18:57) (chat)  Luminus_fox: Подгони второй грузовик
21:56:49 (03:19:08) (chat)  Vikingvladivostokrus: Можно сделать соревнование - у кого башня из грузов больше)
21:56:51 (03:19:09) (chat)  Luminus_fox: Загрузи до фулла.
